_uuid,today,general_info/q6_organization,general_info/q3_province,general_info/q4_district,s1_full_market_survey/q1_3_market_size,s1_full_market_survey/q1_4_market_appearance,s1_full_market_survey/q1_10_current_price_wheat_flour,s1_full_market_survey/q1_10_1_current_price_rice,s1_full_market_survey/q1_10_2_current_price_oil,s1_full_market_survey/q1_10_3_current_price_diesel,s1_full_market_survey/q1_17_1_room_cost_min,s1_full_market_survey/q1_17_2_room_cost_max
bb4fc744-5527-4ebd-802b-747ac0d13488,2017-11-08,PIN,Jawzjan,Shiberghan,large,well_function_busy,25,85,74,55,1000,4000
54c6f3a3-3b60-4752-b8c3-472065e14d61,2017-11-08,NRC,Kandahar,Kandahar,large,well_function_busy,26,84,80,51,1000,1500
9001adfd-df57-469a-8675-f7f6bab40117,2017-11-09,NRC,Kandahar,Kandahar,large,well_function_busy,27,51,65,50,3500,3500
866defdc-c0a0-4ef9-869a-294ac7d8971f,2017-11-09,NRC,Kandahar,Kandahar,large,well_function_busy,26,53,67,50,4000,3400
64f3ae41-d67e-44b5-8762-f0d1fa6d5fff,2017-11-09,ACTED,Faryab,Maymana,large,well_function_busy,27,90,75,50,1500,4000
d35097c9-5955-4fda-b160-8173aeaa09f4,2017-11-09,ACTED,Faryab,Maymana,large,well_function_busy,26,85,74,50,2000,5000
be5d23e6-44c4-4883-a427-352864b1f211,2017-11-09,ACTED,Faryab,Maymana,large,well_function_busy,27,88,75,50,1000,7000
de30bddf-1caa-4611-bf4d-60442862fcaa,2017-11-09,PIN,Samangan,Aybak,large,well_function_busy,30,65,80,50,2000,2500
454f2193-6dda-4174-96fb-58e2a6c5f7a3,2017-11-09,PIN,Samangan,Aybak,large,well_function_busy,32,63,80,50,2300,2600
7f64597d-d6f9-4fdb-9910-6efec7a49670,2017-11-09,PIN,Samangan,Aybak,large,well_function_busy,34,70,78,50,1800,2400
83261e82-b087-4234-b6ce-1b94b29fd97c,2017-11-11,ACF,Daykundi,Nili,large,well_function_busy,30,80,80,50,1500,4000
fef3fd74-2bd2-43d0-a480-c2a6f0c0b73a,2017-11-11,ACF,Daykundi,Nili,large,well_function_busy,30,85,82,50,800,5000
89ad2fec-3061-4364-8715-c2453acb387f,2017-11-11,ACF,Daykundi,Nili,large,well_function_busy,30,85,80,50,1000,5000
ed28ca10-9fb3-4bee-82da-72449f7698e7,2017-11-12,ACF,Ghor,Feroz_Koh,large,well_function_busy,28,80,68,50,1500,5000
23289598-bc89-47bd-9421-6fdfe2620a1c,2017-11-12,ACF,Ghor,Feroz_Koh,large,well_function_busy,30,90,80,50,1500,4500
9b0f18a4-1671-4b15-9560-38a2d90664e2,2017-11-12,ACF,Ghor,Feroz_Koh,small,well_function_busy,29,85,70,50,1000,5000
c0da4c52-26aa-4c6b-9733-ab486a178ded,2017-11-13,NRC,Sar_e_Pul,Sar_e_Pul,medium,well_function_busy,28,75,82,50,500,3000
786890f7-fe97-46ca-a03e-dcfa77ecb5e9,2017-11-13,NRC,Sar_e_Pul,Sar_e_Pul,medium,well_function_busy,28,80,82,50,1000,3000
fece7a5c-09db-4f1c-bd26-85d78a542396,2017-11-13,NRC,Sar_e_Pul,Sar_e_Pul,medium,well_function_busy,30,85,86,50,800,3500
664f7bb8-5b76-4b47-9f79-a55d70c4be7f,2017-11-14,PIN,Logar,Mohammad_Agha,large,well_function_busy,25,81,86,50,6000,12000
3fbefa3c-c387-47ff-a167-e11d21c9dda4,2017-11-14,PIN,Logar,Mohammad_Agha,large,well_function_busy,26,82,87,50,5000,10000
7acb45db-7fe6-4ff3-9692-ee88f2fd7db0,2017-11-14,PIN,Logar,Mohammad_Agha,large,well_function_busy,25,81,87,50,6000,10000
d1f6d866-c4b6-4155-a155-0fc7d5f759e4,2017-11-14,NRC,Sar_e_Pul,Sar_e_Pul,medium,well_function_busy,28,77,85,50,500,3000
df1a109d-00e7-48e2-8c07-e95f13a08793,2017-11-14,NRC,Sar_e_Pul,Sar_e_Pul,medium,well_function_busy,30,82,87,50,1000,3500
24e69634-2890-4e65-b4da-12b720f9e40d,2017-11-14,NRC,Sar_e_Pul,Sar_e_Pul,medium,well_function_busy,30,85,85,50,1000,3000
64d9770d-9388-4308-9239-3d39e19b6b5d,2017-11-14,NRC,Hirat,Hirat,large,well_function_busy,23,50,63,50,1500,2000
f1e54462-a5e4-4612-b398-220d618914ca,2017-11-14,NRC,Hirat,Hirat,large,well_function_busy,24,65,54,52,1700,2500
43a311c8-848f-4e83-b658-55920b8007e0,2017-11-14,NRC,Hirat,Hirat,large,well_function_busy,21,61,50,50,1200,1500
f7fdb4ee-614c-4ac0-a0fb-c094f6271b6b,2017-11-15,NRC,Nangarhar,Khogyani,medium,moderate_function,26,74,67,55,1500,4500
9cdef0b4-9f5e-4c58-ac1a-e37b6d81929f,2017-11-15,NRC,Nangarhar,Khogyani,medium,moderate_function,26,74,68,54,1500,4500
14431689-c223-4c92-94e8-8e9145e2f12f,2017-11-15,NRC,Nangarhar,Khogyani,medium,moderate_function,26,72,68,55,1500,4500
d731faf5-9c30-4807-80f4-412e21d621e0,2017-11-15,NRC,Nangarhar,Khogyani,medium,moderate_function,26,76,66,50,1200,3000
0ce8ed69-2f7b-4b83-839b-8e1f99f570c6,2017-11-15,NRC,Nangarhar,Khogyani,medium,moderate_function,26,78,65,50,1500,4500
47640013-8248-4b16-ae0d-b90a25365794,2017-11-15,NRC,Nangarhar,Khogyani,medium,moderate_function,25,78,66,50,1000,3000
b54d899c-6286-449c-8bce-8651a317032c,2017-11-19,NRC,Kunduz,Kunduz,large,well_function_busy,24,52,80,50,1250,2600
0ea629f3-f92e-484e-93dd-9e66eb24e24c,2017-11-19,NRC,Kunduz,Kunduz,large,well_function_busy,23,58,80,50,1200,2400
9f6f276d-8644-498e-a532-028bb596853b,2017-11-19,NRC,Kunduz,Kunduz,large,well_function_busy,23,50,80,50,1500,2800
4013e382-57d2-401c-90ce-0f7356a43286,2017-11-19,NRC,Kandahar,Zheray,large,well_function_busy,28,90,82,50,900,1100
7cfa1bfc-e4d7-48d6-bb35-174ac8797d51,2017-11-19,NRC,Kandahar,Zheray,large,well_function_busy,27,85,79,50,1000,1100
c1a7d202-75c6-44bc-86d0-7e035bc06c1d,2017-11-19,NRC,Kandahar,Zheray,large,well_function_busy,26,84,80,50,900,1000
c272c490-e2a7-42a2-acd8-2f377f80ed10,2017-11-20,NRC,Kandahar,Spinboldak,large,well_function_busy,28,83,91,50,800,1000
a8e3cc4f-55a3-4d6c-8d79-8b35c516cb29,2017-11-20,NRC,Kandahar,Spinboldak,large,well_function_busy,28,83,91,50,700,950
9c0c31d7-c7b4-46e4-a2eb-42a021b65112,2017-11-20,NRC,Kandahar,Spinboldak,large,well_function_busy,28,83,92,51,800,1000
042f9ad0-9d3f-406e-bc62-13fd7f59a4f1,2017-11-20,NRC,Badghis,Qala_e_Naw,small,well_function_busy,32,61,70,50,1500,3000
b798b781-6063-4c13-b88f-9ba7f14cc49f,2017-11-20,NRC,Badghis,Qala_e_Naw,small,well_function_busy,32,59,70,50,2000,3500
4d7d6433-37d9-4ceb-b6f1-b37a3b0b9533,2017-11-20,NRC,Badghis,Qala_e_Naw,small,well_function_busy,32,62,70,50,1200,2500
7a9b7135-5c12-40af-9ebd-d2fd5160a0db,2017-11-20,ACTED,Baghlan,Pul_e_khumri,large,well_function_busy,25,90,88,50,3000,5000
34ed2928-e291-4791-a91e-b02dd9977607,2017-11-20,ACTED,Baghlan,Pul_e_khumri,large,well_function_busy,24,82,85,50,3500,4500
2c652b9f-8c0d-4239-878a-a354e016ae0a,2017-11-20,ACTED,Baghlan,Pul_e_khumri,large,well_function_busy,27,83,103,50,3500,4000
408cff27-ac4e-4a58-8ac3-1e545831941b,2017-11-21,PIN,Balkh,Mazar_e_Sharif,large,well_function_busy,24,60,85,50,3000,3800
3fbe5883-7aa4-4d61-a889-60f85168d2b0,2017-11-21,PIN,Balkh,Mazar_e_Sharif,large,well_function_busy,25,65,84,50,3500,4000
27103165-dbd5-4ef7-ac92-398650746006,2017-11-21,PIN,Balkh,Mazar_e_Sharif,large,well_function_busy,24,58,75,50,3200,3600
fe8561e1-2770-4cdd-a463-a117c7fa285f,2017-11-21,PIN,Balkh,Mazar_e_Sharif,large,well_function_busy,25,65,80,50,2800,3000
e936a1a9-6c9f-43bd-bed4-4bfaef30e69b,2017-11-21,DRC,Farah,Farah,medium,moderate_function,29,85,75,52,3000,6000
c1256684-2f5b-475b-8df8-6c0c5b82d1db,2017-11-21,DRC,Farah,Farah,medium,moderate_function,29,84,76,52,2500,7000
5bd8ef71-1cfa-4522-9c9e-c43a38addc3d,2017-11-21,DRC,Farah,Farah,medium,well_function_busy,31,83,78,52,3000,8000
aafad143-ac88-4f1e-97ec-8c476d9bbdbc,2017-11-22,PIN,Samangan,Aybak,large,well_function_busy,26,85,75,52,1500,5000
c61eaf5e-d1aa-485f-bd1a-b343ee173dcc,2017-11-22,PIN,Samangan,Aybak,large,well_function_busy,27,82,76,53,2000,6000
a6d0bea7-6a7b-4658-b05d-1dd1e4c1af5c,2017-11-22,PIN,Samangan,Aybak,large,well_function_busy,27,88,77,53,2000,5000
1e348d6c-bb7f-4692-9191-c5a6a695ab7c,2017-11-22,PIN,Samangan,Aybak,large,well_function_busy,26,80,72,53,1500,4500
1de302e0-db61-4700-a926-ed1e10032734,2017-11-22,PIN,Samangan,Aybak,large,well_function_busy,25,84,75,52,2000,5000
cfbfab87-83aa-4c66-bae4-463b4e01b09d,2017-11-22,ACTED,Badakhshan,Fayzabad,large,well_function_busy,28,96,82,50,1500,2000
f6d76c6e-6911-4aef-be77-8499b333bdab,2017-11-22,ACTED,Badakhshan,Fayzabad,large,well_function_busy,29,98,84,50,1600,200
b4d497da-40d4-4f0a-a88c-6f991b0d5c74,2017-11-22,ACTED,Badakhshan,Fayzabad,large,well_function_busy,30,95,83,50,2000,2000
68a4f4b8-a657-45d4-9281-84f7dac7eda3,2017-11-22,ACTED,Kunduz,Emam_saheb,large,well_function_busy,26,100,90,50,2000,3000
77dc93cf-8a9b-4f3b-a021-de8ac563d1d3,2017-11-22,ACTED,Kunduz,Emam_saheb,large,well_function_busy,24,98,85,50,1500,2500
39047f6b-6bfb-4449-b25f-e820161b5f9e,2017-11-22,ACTED,Kunduz,Emam_saheb,large,well_function_busy,25,99,88,50,2000,3000
4b38ce99-c06d-4a09-a451-fdc17bd981a2,2017-11-23,ACTED,Faryab,Maymana,large,well_function_busy,25,79,75,50,2000,5000
585af8bf-cf30-4a89-8674-675471875aef,2017-11-23,ACTED,Faryab,Maymana,large,well_function_busy,24,84,69,50,1500,6000
7dd41ef7-5c24-4840-916a-f51edd414698,2017-11-23,ACTED,Faryab,Maymana,large,well_function_busy,25,85,75,50,1500,6500
06b259a0-24c0-475f-b486-d4c605971f6d,2017-11-23,ACTED,Faryab,Maymana,large,well_function_busy,25,85,77,50,2000,5000
99f7b4c1-1791-4e9f-a377-eaf139ebb5cf,2017-11-25,DRC,Kapisa,Mahmud_e_Raqi,large,well_function_busy,24,78,95,50,500,3500
7870659f-36b8-4b30-b79a-ae27b6d7c98b,2017-11-25,DRC,Kapisa,Hisa_e_Duwum_e_Kohestan,large,well_function_busy,23,75,100,50,500,3000
efc99a9e-2c8f-4614-a0b2-b2c43acfb43d,2017-11-27,PIN,Logar,Pul_e_Alam,large,well_function_busy,26,82,87,50,5000,12000
a731d43d-e98b-44cf-9ffb-817c63a04293,2017-11-28,PIN,Logar,Pul_e_Alam,small,well_function_busy,26,82,87,50,6000,10000
c8c142f3-f1c2-44c7-aa1b-7e5ac342b7c9,2017-11-28,PIN,Logar,Pul_e_Alam,small,well_function_busy,27,83,88,50,5000,11000
2a9dff76-6ad5-4d66-a8df-e88f4e9b0b37,2017-11-28,DRC,Farah,Farah,large,well_function_busy,29,78,74,50,3500,8000
91dfac88-5b9a-4fc9-915b-23745aab1ab0,2017-11-28,DRC,Farah,Farah,large,well_function_busy,29,78,75,50,4000,7500
9ef85a90-b43b-4fb3-9255-aff41c3d4941,2017-11-28,DRC,Farah,Farah,large,well_function_busy,28,80,76,50,3000,7000
e88a36a5-c049-4317-bb0f-a06dc943e9c8,2017-11-28,ACF,Ghor,Feroz_Koh,small,well_function_busy,27,85,70,50,1000,5000
6fa53402-1b73-46c8-a8c1-48b6be16e553,2017-11-28,ACF,Ghor,Feroz_Koh,small,well_function_busy,28,90,68,50,1200,6000
58b30247-92b9-4867-8c4c-df2735d527b8,2017-11-28,ACF,Ghor,Feroz_Koh,small,well_function_busy,29,85,67,50,1000,5500
64936a9a-6d65-4b83-9d6d-d9103d846493,2017-12-04,ACTED,Kunduz,Dasht_e_Archi,medium,well_function_busy,26,95,75,50,400,450
0bc3565f-f1d4-4845-b757-4ef36c086d31,2017-12-04,ACTED,Kunduz,Dasht_e_Archi,small,well_function_busy,25,76,87,52,1000,1000
3578e15b-160c-43de-864a-d9c6498471be,2017-12-04,ACTED,Kunduz,Dasht_e_Archi,large,well_function_busy,26,76,88,52,800,1000
5ffa70ec-f584-4fa6-ad27-486be2114968,2017-12-04,NRC,Kunduz,Kunduz,large,well_function_busy,24,50,75,50,2000,3000
59fd3bc6-ba32-45bd-96be-081eda2db192,2017-12-04,NRC,Kunduz,Kunduz,large,well_function_busy,24,50,80,50,1800,2500
90b99cea-4b23-475b-a9f1-3b8b5f5cbd1b,2017-12-04,NRC,Kunduz,Kunduz,large,well_function_busy,22,54,80,50,2000,2500
b689b6dd-c1b6-4d89-b9f8-affcc1b3fd9c,2017-12-05,ACF,Nimroz,Zaranj,large,well_function_busy,28,60,75,51,4000,12000
00920588-2aa4-49bd-9f87-d175270a7077,2017-12-05,ACF,Nimroz,Zaranj,large,well_function_busy,27,65,80,50,3000,8000
24c0246e-b8bd-4f5e-93cd-05a456fa8fae,2017-12-05,ACF,Nimroz,Zaranj,large,well_function_busy,27,60,80,50,4000,11000
36888e45-ed2f-40ee-a196-ea2d80934d25,2017-12-06,DRC,Parwan,Bagram,large,well_function_busy,25,90,90,48,,
50ca8453-a331-4360-9d37-b0ff0355813c,2017-12-07,PIN,Jawzjan,Shiberghan,large,well_function_busy,23,62,79,50,500,2500
915b6f3c-f8a9-43e9-88d0-a7308eb8402c,2017-12-07,PIN,Jawzjan,Shiberghan,large,well_function_busy,24,64,77,50,400,3000
53df47d3-bf81-41bd-ac8c-e9d58fbfd330,2017-12-07,PIN,Jawzjan,Shiberghan,large,well_function_busy,23,65,80,50,500,2500
60f0e789-32e4-40fd-b301-6904061d33bc,2017-12-07,PIN,Jawzjan,Shiberghan,large,well_function_busy,24,55,75,50,500,2500
54e7d03e-08e9-4083-b1e7-fe3ed90f4029,2017-12-07,PIN,Jawzjan,Shiberghan,large,well_function_busy,23,63,76,50,350,2000
06591625-12cd-4763-b924-2a78916de336,2017-12-10,ACTED,Faryab,Maymana,large,well_function_busy,26,88,76,50,1500,6000
358f2879-2140-4e4d-98fd-c2db2dedf9da,2017-12-10,ACTED,Faryab,Maymana,large,well_function_busy,25,88,74,50,2000,6500
77e57d68-94b7-44ee-9aa2-60d1d8f16d2f,2017-12-10,NRC,Badghis,Qala_e_Naw,small,well_function_busy,32,62,70,50,1500,3000
559df4c8-1c80-4754-a5e2-7464a03901d8,2017-12-10,NRC,Badghis,Qala_e_Naw,small,well_function_busy,32,60,70,50,1200,2500
c62d64c5-12bd-4d47-9006-4b16c7c2b5cb,2017-12-10,NRC,Badghis,Qala_e_Naw,small,well_function_busy,32,62,70,50,1000,3000
516abea3-e72c-4ea5-a0fd-fb28d5cb0e1b,2017-12-11,DRC,Farah,Farah,medium,moderate_function,26,82,67,42,2500,6000
9ca3e780-74c8-447f-b3fa-796f2e508505,2017-12-11,DRC,Farah,Farah,medium,moderate_function,27,82,68,44,2500,6500
baec91a9-2a60-475a-b9e1-b9d8986d33f9,2017-12-11,DRC,Farah,Farah,medium,moderate_function,27,84,68,42,3000,7000
5f7af3fa-1171-4554-9d8f-eb4512046d05,2017-12-13,NRC,Kandahar,Kandahar,large,well_function_busy,26,50,60,50,800,1500
e5f9f0c7-579f-4691-8786-9dd372372b23,2017-12-13,NRC,Kandahar,Kandahar,large,well_function_busy,26,52,61,50,850,1200
50a03145-25d3-4860-8d7e-ac532af2a707,2017-12-13,NRC,Kandahar,Kandahar,large,well_function_busy,26,52,60,50,900,1200
e76f5041-d187-4c91-97f7-136a425fee14,2017-12-13,NRC,Nangarhar,Jalalabad,large,well_function_busy,25,76,65,50,3000,5500
02766a35-abf5-4171-ba35-d6c6773c29ce,2017-12-13,NRC,Nangarhar,Jalalabad,large,well_function_busy,25,75,67,50,3000,5500
db8603bd-8a87-4ac1-9963-2ce0f9381260,2017-12-13,NRC,Nangarhar,Jalalabad,large,well_function_busy,25,77,69,50,3000,5500
97a06570-b814-4e90-a409-29526cd18288,2017-12-13,ACF,Ghor,Feroz_Koh,large,well_function_busy,30,90,70,50,300,3500
30f18b71-ab35-43a7-8467-2194a79276eb,2017-12-13,ACF,Ghor,Feroz_Koh,large,well_function_busy,32,90,72,50,500,4000
42f6db73-45b6-4915-aaa6-637bc38067ec,2017-12-13,ACF,Ghor,Feroz_Koh,large,well_function_busy,30,87,70,50,400,3000
5231ccb8-5ebe-4025-b168-3466437c80b5,2017-12-17,ACTED,Badakhshan,Fayzabad,large,well_function_busy,30,91,90,50,1800,2000
b6fa3c3e-affc-48d3-b528-c1ba601d1d55,2017-12-17,ACTED,Badakhshan,Fayzabad,large,well_function_busy,28,95,84,50,2000,2500
84560867-503a-4377-8949-01bfc7ca9da9,2017-12-17,ACTED,Badakhshan,Fayzabad,large,well_function_busy,26,92,82,50,2000,2500
2b2d50c4-c7fe-483f-84f2-af3bce899a0f,2017-12-17,DRC,Ghazni,Ghazni,large,well_function_busy,26,80,85,46,600,3000
b5bf5767-5975-4594-9e45-392e33008851,2017-12-19,ACTED,Baghlan,Nahrin,large,well_function_busy,24,89,80,50,1000,1000
58f0fc8e-6818-4a03-9ece-79c9aefa9df6,2017-12-19,ACTED,Baghlan,Nahrin,large,well_function_busy,25,91,91,51,1200,1200
f11416f8-20d6-4397-a757-f0f028487440,2017-12-19,ACTED,Baghlan,Nahrin,large,well_function_busy,25,92,91,50,1200,1200
c62a405c-5891-4f0e-85cd-af95915ddd82,2017-12-19,NRC,Sar_e_Pul,Sancharak,medium,well_function_busy,23,50,70,50,2000,2000
f71a8c41-09d4-40c6-90e3-e09ca5703858,2017-12-19,NRC,Sar_e_Pul,Sancharak,medium,well_function_busy,30,50,80,50,2500,2000
dd6e57dd-c3bb-4ffc-afc3-5461a1ebb0e4,2017-12-19,NRC,Sar_e_Pul,Sancharak,medium,well_function_busy,25,50,70,50,2000,1000
71503f40-357e-4fc2-abed-8f845a47cb1a,2017-12-20,ACF,Hilmand,Lashkargah,large,well_function_busy,29,94,65,50,1000,7000
28d854d7-afd2-4091-bcaa-4b8f7016bcb5,2017-12-20,ACF,Hilmand,Lashkargah,large,well_function_busy,29,94,60,50,1000,7000
2899a6e9-2502-40e3-b423-5a8a2e1949fd,2017-12-20,ACF,Hilmand,Lashkargah,medium,well_function_busy,29,95,66,50,1000,10000
c0b414a4-27b6-4cee-acfb-7d5b89d52627,2017-12-20,NRC,Badghis,Qala_e_Naw,small,well_function_busy,32,61,70,50,1000,3000
57c8a2ce-83ed-44d7-b690-4bb27d948f47,2017-12-20,NRC,Badghis,Qala_e_Naw,small,well_function_busy,32,62,70,50,1500,2500
bb144c7d-f690-418d-85d7-be2b510b4572,2017-12-20,NRC,Badghis,Qala_e_Naw,small,well_function_busy,32,59,70,50,1500,3500
6522cbf5-b5b1-41c8-9903-7da749456dcc,2017-12-23,DRC,Laghman,Mehtarlam,large,well_function_busy,25,80,69,47,4000,1000
4b0e8c0d-21f0-4aa4-b50e-8a674f98756e,2017-12-24,NRC,Balkh,Mazar_e_Sharif,small,well_function_busy,30,70,75,45,1000,12000
78bf4637-c136-4926-aaf5-74c8aa220dd2,2017-12-24,NRC,Balkh,Mazar_e_Sharif,small,well_function_busy,28,62,72,45,1000,15000
68c76a35-64d1-48e4-8886-c64c19d03536,2017-12-24,NRC,Balkh,Mazar_e_Sharif,small,well_function_busy,26,90,65,45,2000,10000
1200ea26-45f4-4552-acb6-13d22a7161af,2017-12-24,DRC,Laghman,Mehtarlam,large,well_function_busy,24,79,67,47,2000,6000
7a7d7461-6e87-44ab-81a7-17b2a15774ee,2017-12-24,DRC,Laghman,Mehtarlam,large,well_function_busy,23,78,68,47,2000,6000
f5f92600-4c4d-4a3a-87a8-a000e8e6e1ac,2017-12-24,DRC,Laghman,Mehtarlam,large,well_function_busy,24,79,67,47,1000,10000
f673f320-b6f5-4c97-8591-cdd877e9687f,2017-12-24,DRC,Laghman,Mehtarlam,large,well_function_busy,23,78,68,47,1200,5000
ac269e78-84b0-4cf2-bb9e-56b3aee2ec8d,2017-12-24,DRC,Laghman,Mehtarlam,large,well_function_busy,25,80,69,47,1000,4000
edc2fabd-8272-4788-808a-382f9c6fae8f,2017-12-25,PIN,Balkh,Mazar_e_Sharif,large,well_function_busy,24,65,78,50,300,8000
